method,ARI,AMI,FMI,unlabeled_pctg,batch_effects_removed,assigned
scmap_cluster...1,0.6329753028258346,0.6343063100129931,0.7385707827310173,0.26099002585888437,FALSE,NA
scmap_cell...2,0.804841857445122,0.7123907043038695,0.8626831728436661,0.16457332840783154,FALSE,NA
chetah...3,0.662382497136326,0.5909952824470441,0.7575614115838539,0.2305134835611378,FALSE,NA
singlecellnet...4,0.9693921746717714,0.9208904070246209,0.9785946889909035,0.003140007388252678,FALSE,NA
garnett...5,0.17753204054439714,0.25645612648159105,0.39007993503583216,0.2934983376431474,FALSE,NA
cellassign...6,-0.007963773501734939,0.004760367325181103,0.2931354638241295,0,FALSE,NA
scmap_cluster...7,0.9840556383162863,0.9523079915416287,0.9906177770081293,NA,FALSE,TRUE
scmap_cell...8,0.9740502426604193,0.9237607128644474,0.9848202738184676,NA,FALSE,TRUE
chetah...9,0.6521567322065153,0.5592473521163573,0.7822030940020985,NA,FALSE,TRUE
singlecellnet...10,0.9879201196730997,0.9632272976613536,0.9928781245893122,NA,FALSE,TRUE
garnett...11,0.2077468599224526,0.2466530484767971,0.46087175662974145,NA,FALSE,TRUE
cellassign...12,-0.007458863076276843,0.006519332446457597,0.33712529216526993,NA,FALSE,TRUE
scmap_cluster...13,0.40051553445879634,0.5315986788604758,0.5596671529814189,NA,FALSE,FALSE
scmap_cell...14,0.6627035247582064,0.6313046036705103,0.7480803220925556,NA,FALSE,FALSE
chetah...15,0.4963232773335404,0.5424204996040736,0.6107324379017128,NA,FALSE,FALSE
singlecellnet...16,0.9538516836210845,0.9051431829318346,0.9654703294410102,NA,FALSE,FALSE
garnett...17,0.21164172148179156,0.2271162236381283,0.426429540830981,NA,FALSE,FALSE
cellassign...18,-0.012082447989561958,0.0057567111964747855,0.26563991726431013,NA,FALSE,FALSE
chetah...19,0.8999147500886242,0.8024204186700228,0.9300362047028287,0.061691909863317324,TRUE,NA
garnett...20,0.031028130367259998,0.010826644727216825,0.4203597465637266,0.37292205393424455,TRUE,NA
chetah...21,0.9026410455477732,0.8059086006308392,0.9321127915344003,NA,TRUE,TRUE
garnett...22,0.03201169891876788,0.01170317535660596,0.42182441810222376,NA,TRUE,TRUE
chetah...23,0.775851212156993,0.6895919174850244,0.835408353324299,NA,TRUE,FALSE
garnett...24,-0.025835517840704966,0.006889868654951565,0.4131492098159955,NA,TRUE,FALSE
seurat...25,0.3943142106026975,0.5240403088536275,0.5575661456246248,NA,FALSE,NA
tscan...26,0.2026341428916844,0.33702221028205664,0.383995830705986,NA,FALSE,NA
sc3...27,0.26911724536635656,0.4015218315767214,0.43739174294346916,NA,FALSE,NA
liger...28,0.2327569759361144,0.4038401780220916,0.40597648530191704,NA,FALSE,NA
seurat...29,0.40480821572341846,0.5294133809005898,0.5612877043778748,NA,FALSE,TRUE
tscan...30,0.1918398251763203,0.33627186141955767,0.3730199079087247,NA,FALSE,TRUE
sc3...31,0.31807128555648617,0.46626067871992294,0.47803898462931405,NA,FALSE,TRUE
liger...32,0.2637829565285345,0.4168189661024903,0.4295380602628245,NA,FALSE,TRUE
seurat...33,0.4256720865425401,0.5391464931215858,0.583568520002816,NA,FALSE,FALSE
tscan...34,0.2170888575983026,0.35089847354185477,0.4005506399236579,NA,FALSE,FALSE
sc3...35,0.24339581968342533,0.38132090177769395,0.4147288448495211,NA,FALSE,FALSE
liger...36,0.22584039148458618,0.4060239358112019,0.3984363836133787,NA,FALSE,FALSE
seurat...37,0.4248785577796888,0.5871558158767444,0.5858279594132908,NA,TRUE,NA
sc3...38,0.5452753123944571,0.6170349691083878,0.6753020528388493,NA,TRUE,NA
tscan...39,0.5404341245269901,0.6146996123492883,0.6683226559185496,NA,TRUE,NA
seurat...40,0.4273485312477557,0.5890133230220836,0.587742455117574,NA,TRUE,TRUE
sc3...41,0.6264962943212107,0.7106928729595344,0.7369007478973697,NA,TRUE,TRUE
tscan...42,0.5424516528908351,0.616453901154139,0.6697865104787522,NA,TRUE,TRUE
seurat...43,0.5664708801752625,0.6109602025925462,0.712926724329676,NA,TRUE,FALSE
sc3...44,0.49112156269358603,0.543133457582137,0.6529649236331037,NA,TRUE,FALSE
tscan...45,0.6499792585272646,0.6213981578629056,0.7699073431615658,NA,TRUE,FALSE
