method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,dataset,complexity,entropy,seq_depth_med,seq_depth_IQR,cell_types,cell_type_max_pctg,sparsity,sample_num,gene_num,assigned
scmap_cluster...1,0.5804859866264086,0.595463937968886,0.6830999861285325,0.27017543859649124,8,0.38596491228070173,TRUE,GSE96583_batch1_3_samples,0.8696580993687105,1.6603561872709423,0.04713368622592634,0.026748507714832753,8,0.4245614035087719,0.9780939848212715,285,17758,NA
scmap_cell...2,0.07397326009717194,0.2587610014942176,0.38530798155683543,0.6210526315789474,7,0.6210526315789474,TRUE,GSE96583_batch1_3_samples,0.8696580993687105,1.6603561872709423,0.04713368622592634,0.026748507714832753,8,0.4245614035087719,0.9780939848212715,285,17758,NA
chetah...3,0.5503016260181094,0.5410155942454388,0.6573223457153737,0.21052631578947367,8,0.38596491228070173,TRUE,GSE96583_batch1_3_samples,0.8696580993687105,1.6603561872709423,0.04713368622592634,0.026748507714832753,8,0.4245614035087719,0.9780939848212715,285,17758,NA
singlecellnet...4,0.7887548711929547,0.7379724478504054,0.8445280903991496,0.021052631578947368,9,0.4631578947368421,TRUE,GSE96583_batch1_3_samples,0.8696580993687105,1.6603561872709423,0.04713368622592634,0.026748507714832753,8,0.4245614035087719,0.9780939848212715,285,17758,NA
garnett...5,0.34959407822072214,0.314306562477529,0.5766111634832598,0.5263157894736842,3,0.5263157894736842,TRUE,GSE96583_batch1_3_samples,0.8696580993687105,1.6603561872709423,0.04713368622592634,0.026748507714832753,8,0.4245614035087719,0.9780939848212715,285,17758,NA
singleR...6,0.7439230847890965,0.6971264746249825,0.8127645485676059,0,8,0.45263157894736844,TRUE,GSE96583_batch1_3_samples,0.8696580993687105,1.6603561872709423,0.04713368622592634,0.026748507714832753,8,0.4245614035087719,0.9780939848212715,285,17758,NA
cellassign...7,0.5957155436380759,0.5576545221254919,0.740259094555045,0,6,0.5754385964912281,TRUE,GSE96583_batch1_3_samples,0.8696580993687105,1.6603561872709423,0.04713368622592634,0.026748507714832753,8,0.4245614035087719,0.9780939848212715,285,17758,NA
seurat...8,0.6859783943178437,0.5962031724506891,0.7782681915909344,NA,4,0.45614035087719296,FALSE,GSE96583_batch1_3_samples,0.8696580993687105,1.6603561872709423,0.04713368622592634,0.026748507714832753,8,0.4245614035087719,0.9780939848212715,285,17758,NA
tscan...9,0.21875767918088737,0.3161376078268085,0.3907603866133714,NA,8,0.2807017543859649,FALSE,GSE96583_batch1_3_samples,0.8696580993687105,1.6603561872709423,0.04713368622592634,0.026748507714832753,8,0.4245614035087719,0.9780939848212715,285,17758,NA
sc3...10,0.6584273236796557,0.6827135990581942,0.7374874670662567,NA,8,0.3649122807017544,FALSE,GSE96583_batch1_3_samples,0.8696580993687105,1.6603561872709423,0.04713368622592634,0.026748507714832753,8,0.4245614035087719,0.9780939848212715,285,17758,NA
liger...11,0.5930548847098454,0.49715550050849733,0.7285616186901667,NA,4,0.5508771929824562,FALSE,GSE96583_batch1_3_samples,0.8696580993687105,1.6603561872709423,0.04713368622592634,0.026748507714832753,8,0.4245614035087719,0.9780939848212715,285,17758,NA
cidr...12,0.16050860196340055,0.23708251808915015,0.3540297757328467,NA,5,0.3087719298245614,FALSE,GSE96583_batch1_3_samples,0.8696580993687105,1.6603561872709423,0.04713368622592634,0.026748507714832753,8,0.4245614035087719,0.9780939848212715,285,17758,NA
monocle3...13,0,0,0.49422161396123626,NA,1,1,FALSE,GSE96583_batch1_3_samples,0.8696580993687105,1.6603561872709423,0.04713368622592634,0.026748507714832753,8,0.4245614035087719,0.9780939848212715,285,17758,NA
pcaReduce...14,0.2818636943842817,0.48587796313140674,0.42947216208605293,NA,17,0.10175438596491228,FALSE,GSE96583_batch1_3_samples,0.8696580993687105,1.6603561872709423,0.04713368622592634,0.026748507714832753,8,0.4245614035087719,0.9780939848212715,285,17758,NA
